Category,Resume,Skills,Experience,Selected
Web Developer,"Experienced Web Developer professional with 2 years of experience. Proficient in html, node.js, javascript, mongodb. Worked on multiple projects involving html and mongodb. Strong analytical and problem-solving skills.","html, node.js, javascript, mongodb",2,0
SAP Developer,"Experienced SAP Developer professional with 4 years of experience. Proficient in bapi, idoc, sap mm, sap abap. Worked on multiple projects involving bapi and sap abap. Strong analytical and problem-solving skills.","bapi, idoc, sap mm, sap abap",4,0
HR,"Experienced HR professional with 9 years of experience. Proficient in payroll, recruitment, employee engagement, hrms. Worked on multiple projects involving payroll and hrms. Strong analytical and problem-solving skills.","payroll, recruitment, employee engagement, hrms",9,1
Electrical Engineering,"Experienced Electrical Engineering professional with 5 years of experience. Proficient in power systems, matlab, plc, circuit design. Worked on multiple projects involving power systems and circuit design. Strong analytical and problem-solving skills.","power systems, matlab, plc, circuit design",5,1
Operations Manager,"Experienced Operations Manager professional with 5 years of experience. Proficient in six sigma, kpi, lean, erp. Worked on multiple projects involving six sigma and erp. Strong analytical and problem-solving skills.","six sigma, kpi, lean, erp",5,1
Web Developer,"Experienced Web Developer professional with 7 years of experience. Proficient in css, react, mongodb, html. Worked on multiple projects involving css and html. Strong analytical and problem-solving skills.","css, react, mongodb, html",7,1
Advocate,"Experienced Advocate professional with 10 years of experience. Proficient in contract drafting, ipc, litigation, legal research. Worked on multiple projects involving contract drafting and legal research. Strong analytical and problem-solving skills.","contract drafting, ipc, litigation, legal research",10,1
Electrical Engineering,"Experienced Electrical Engineering professional with 8 years of experience. Proficient in matlab, circuit design, power systems, plc. Worked on multiple projects involving matlab and plc. Strong analytical and problem-solving skills.","matlab, circuit design, power systems, plc",8,1
Database Administrator,"Experienced Database Administrator professional with 5 years of experience. Proficient in performance tuning, oracle, backup, sql. Worked on multiple projects involving performance tuning and sql. Strong analytical and problem-solving skills.","performance tuning, oracle, backup, sql",5,1
Business Analyst,"Experienced Business Analyst professional with 4 years of experience. Proficient in stakeholder management, uml, requirement gathering, agile. Worked on multiple projects involving stakeholder management and agile. Strong analytical and problem-solving skills.","stakeholder management, uml, requirement gathering, agile",4,0
SAP Developer,"Experienced SAP Developer professional with 11 years of experience. Proficient in sap abap, sap mm, idoc, sap fi. Worked on multiple projects involving sap abap and sap fi. Strong analytical and problem-solving skills.","sap abap, sap mm, idoc, sap fi",11,1
Database Administrator,"Experienced Database Administrator professional with 3 years of experience. Proficient in backup, postgresql, mysql, sql. Worked on multiple projects involving backup and sql. Strong analytical and problem-solving skills.","backup, postgresql, mysql, sql",3,1
Data Science,"Experienced Data Science professional with 0 years of experience. Proficient in pandas, machine learning, tensorflow, python. Worked on multiple projects involving pandas and python. Strong analytical and problem-solving skills.","pandas, machine learning, tensorflow, python",0,0
Electrical Engineering,"Experienced Electrical Engineering professional with 7 years of experience. Proficient in circuit design, power systems, plc, scada. Worked on multiple projects involving circuit design and scada. Strong analytical and problem-solving skills.","circuit design, power systems, plc, scada",7,1
Web Developer,"Experienced Web Developer professional with 7 years of experience. Proficient in node.js, javascript, react, mongodb. Worked on multiple projects involving node.js and mongodb. Strong analytical and problem-solving skills.","node.js, javascript, react, mongodb",7,1
Network Security,"Experienced Network Security professional with 3 years of experience. Proficient in siem, firewall, vpn, ids/ips. Worked on multiple projects involving siem and ids/ips. Strong analytical and problem-solving skills.","siem, firewall, vpn, ids/ips",3,0
Java Developer,"Experienced Java Developer professional with 7 years of experience. Proficient in sql, hibernate, microservices, java. Worked on multiple projects involving sql and java. Strong analytical and problem-solving skills.","sql, hibernate, microservices, java",7,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 1 years of experience. Proficient in cnc machining, solidworks, catia, ansys. Worked on multiple projects involving cnc machining and ansys. Strong analytical and problem-solving skills.","cnc machining, solidworks, catia, ansys",1,0
Business Analyst,"Experienced Business Analyst professional with 0 years of experience. Proficient in requirement gathering, agile, stakeholder management, sql. Worked on multiple projects involving requirement gathering and sql. Strong analytical and problem-solving skills.","requirement gathering, agile, stakeholder management, sql",0,0
Operations Manager,"Experienced Operations Manager professional with 8 years of experience. Proficient in kpi, lean, six sigma, erp. Worked on multiple projects involving kpi and erp. Strong analytical and problem-solving skills.","kpi, lean, six sigma, erp",8,1
Data Science,"Experienced Data Science professional with 4 years of experience. Proficient in machine learning, tensorflow, pandas, sklearn. Worked on multiple projects involving machine learning and sklearn. Strong analytical and problem-solving skills.","machine learning, tensorflow, pandas, sklearn",4,1
Web Developer,"Experienced Web Developer professional with 8 years of experience. Proficient in mongodb, javascript, react, node.js. Worked on multiple projects involving mongodb and node.js. Strong analytical and problem-solving skills.","mongodb, javascript, react, node.js",8,1
Civil Engineer,"Experienced Civil Engineer professional with 5 years of experience. Proficient in estimation, autocad, staad pro, soil testing. Worked on multiple projects involving estimation and soil testing. Strong analytical and problem-solving skills.","estimation, autocad, staad pro, soil testing",5,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 8 years of experience. Proficient in solidworks, thermodynamics, cnc machining, catia. Worked on multiple projects involving solidworks and catia. Strong analytical and problem-solving skills.","solidworks, thermodynamics, cnc machining, catia",8,1
Automation Testing,"Experienced Automation Testing professional with 6 years of experience. Proficient in postman, api testing, testng, selenium. Worked on multiple projects involving postman and selenium. Strong analytical and problem-solving skills.","postman, api testing, testng, selenium",6,1
Operations Manager,"Experienced Operations Manager professional with 4 years of experience. Proficient in six sigma, kpi, lean, erp. Worked on multiple projects involving six sigma and erp. Strong analytical and problem-solving skills.","six sigma, kpi, lean, erp",4,1
Data Science,"Experienced Data Science professional with 10 years of experience. Proficient in sklearn, machine learning, pandas, numpy. Worked on multiple projects involving sklearn and numpy. Strong analytical and problem-solving skills.","sklearn, machine learning, pandas, numpy",10,1
Electrical Engineering,"Experienced Electrical Engineering professional with 2 years of experience. Proficient in circuit design, plc, matlab, power systems. Worked on multiple projects involving circuit design and power systems. Strong analytical and problem-solving skills.","circuit design, plc, matlab, power systems",2,1
Health and Fitness,"Experienced Health and Fitness professional with 9 years of experience. Proficient in anatomy, cpr, nutrition, physiotherapy. Worked on multiple projects involving anatomy and physiotherapy. Strong analytical and problem-solving skills.","anatomy, cpr, nutrition, physiotherapy",9,1
Arts,"Experienced Arts professional with 11 years of experience. Proficient in content creation, video editing, photoshop, illustrator. Worked on multiple projects involving content creation and illustrator. Strong analytical and problem-solving skills.","content creation, video editing, photoshop, illustrator",11,1
Business Analyst,"Experienced Business Analyst professional with 4 years of experience. Proficient in sql, requirement gathering, agile, stakeholder management. Worked on multiple projects involving sql and stakeholder management. Strong analytical and problem-solving skills.","sql, requirement gathering, agile, stakeholder management",4,1
Python Developer,"Experienced Python Developer professional with 10 years of experience. Proficient in docker, django, python, flask. Worked on multiple projects involving docker and flask. Strong analytical and problem-solving skills.","docker, django, python, flask",10,1
Advocate,"Experienced Advocate professional with 2 years of experience. Proficient in litigation, contract drafting, ipc, legal research. Worked on multiple projects involving litigation and legal research. Strong analytical and problem-solving skills.","litigation, contract drafting, ipc, legal research",2,1
Advocate,"Experienced Advocate professional with 10 years of experience. Proficient in litigation, contract drafting, legal research, ipc. Worked on multiple projects involving litigation and ipc. Strong analytical and problem-solving skills.","litigation, contract drafting, legal research, ipc",10,0
HR,"Experienced HR professional with 1 years of experience. Proficient in recruitment, payroll, employee engagement, hrms. Worked on multiple projects involving recruitment and hrms. Strong analytical and problem-solving skills.","recruitment, payroll, employee engagement, hrms",1,1
Advocate,"Experienced Advocate professional with 10 years of experience. Proficient in litigation, ipc, legal research, contract drafting. Worked on multiple projects involving litigation and contract drafting. Strong analytical and problem-solving skills.","litigation, ipc, legal research, contract drafting",10,1
SAP Developer,"Experienced SAP Developer professional with 6 years of experience. Proficient in idoc, bapi, sap abap, sap fi. Worked on multiple projects involving idoc and sap fi. Strong analytical and problem-solving skills.","idoc, bapi, sap abap, sap fi",6,1
DevOps Engineer,"Experienced DevOps Engineer professional with 5 years of experience. Proficient in ci/cd, docker, jenkins, terraform. Worked on multiple projects involving ci/cd and terraform. Strong analytical and problem-solving skills.","ci/cd, docker, jenkins, terraform",5,1
Automation Testing,"Experienced Automation Testing professional with 6 years of experience. Proficient in api testing, selenium, postman, jira. Worked on multiple projects involving api testing and jira. Strong analytical and problem-solving skills.","api testing, selenium, postman, jira",6,1
Civil Engineer,"Experienced Civil Engineer professional with 7 years of experience. Proficient in soil testing, estimation, project management, autocad. Worked on multiple projects involving soil testing and autocad. Strong analytical and problem-solving skills.","soil testing, estimation, project management, autocad",7,1
Java Developer,"Experienced Java Developer professional with 1 years of experience. Proficient in maven, sql, microservices, hibernate. Worked on multiple projects involving maven and hibernate. Strong analytical and problem-solving skills.","maven, sql, microservices, hibernate",1,0
Advocate,"Experienced Advocate professional with 8 years of experience. Proficient in legal research, contract drafting, litigation, ipc. Worked on multiple projects involving legal research and ipc. Strong analytical and problem-solving skills.","legal research, contract drafting, litigation, ipc",8,1
Advocate,"Experienced Advocate professional with 1 years of experience. Proficient in ipc, litigation, legal research, contract drafting. Worked on multiple projects involving ipc and contract drafting. Strong analytical and problem-solving skills.","ipc, litigation, legal research, contract drafting",1,1
DevOps Engineer,"Experienced DevOps Engineer professional with 4 years of experience. Proficient in aws, terraform, docker, kubernetes. Worked on multiple projects involving aws and kubernetes. Strong analytical and problem-solving skills.","aws, terraform, docker, kubernetes",4,1
Python Developer,"Experienced Python Developer professional with 10 years of experience. Proficient in python, django, docker, rest api. Worked on multiple projects involving python and rest api. Strong analytical and problem-solving skills.","python, django, docker, rest api",10,1
Electrical Engineering,"Experienced Electrical Engineering professional with 8 years of experience. Proficient in circuit design, scada, matlab, plc. Worked on multiple projects involving circuit design and plc. Strong analytical and problem-solving skills.","circuit design, scada, matlab, plc",8,0
HR,"Experienced HR professional with 5 years of experience. Proficient in recruitment, hrms, payroll, onboarding. Worked on multiple projects involving recruitment and onboarding. Strong analytical and problem-solving skills.","recruitment, hrms, payroll, onboarding",5,1
Civil Engineer,"Experienced Civil Engineer professional with 11 years of experience. Proficient in estimation, staad pro, soil testing, project management. Worked on multiple projects involving estimation and project management. Strong analytical and problem-solving skills.","estimation, staad pro, soil testing, project management",11,1
Advocate,"Experienced Advocate professional with 6 years of experience. Proficient in legal research, litigation, ipc, contract drafting. Worked on multiple projects involving legal research and contract drafting. Strong analytical and problem-solving skills.","legal research, litigation, ipc, contract drafting",6,0
Advocate,"Experienced Advocate professional with 3 years of experience. Proficient in contract drafting, litigation, legal research, ipc. Worked on multiple projects involving contract drafting and ipc. Strong analytical and problem-solving skills.","contract drafting, litigation, legal research, ipc",3,1
Health and Fitness,"Experienced Health and Fitness professional with 6 years of experience. Proficient in anatomy, physiotherapy, fitness coaching, cpr. Worked on multiple projects involving anatomy and cpr. Strong analytical and problem-solving skills.","anatomy, physiotherapy, fitness coaching, cpr",6,1
DevOps Engineer,"Experienced DevOps Engineer professional with 10 years of experience. Proficient in ci/cd, aws, docker, terraform. Worked on multiple projects involving ci/cd and terraform. Strong analytical and problem-solving skills.","ci/cd, aws, docker, terraform",10,1
Health and Fitness,"Experienced Health and Fitness professional with 9 years of experience. Proficient in nutrition, anatomy, physiotherapy, cpr. Worked on multiple projects involving nutrition and cpr. Strong analytical and problem-solving skills.","nutrition, anatomy, physiotherapy, cpr",9,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 0 years of experience. Proficient in solidworks, cnc machining, thermodynamics, ansys. Worked on multiple projects involving solidworks and ansys. Strong analytical and problem-solving skills.","solidworks, cnc machining, thermodynamics, ansys",0,0
Database Administrator,"Experienced Database Administrator professional with 8 years of experience. Proficient in backup, mysql, sql, oracle. Worked on multiple projects involving backup and oracle. Strong analytical and problem-solving skills.","backup, mysql, sql, oracle",8,1
Java Developer,"Experienced Java Developer professional with 11 years of experience. Proficient in maven, spring boot, sql, hibernate. Worked on multiple projects involving maven and hibernate. Strong analytical and problem-solving skills.","maven, spring boot, sql, hibernate",11,0
HR,"Experienced HR professional with 5 years of experience. Proficient in recruitment, onboarding, hrms, payroll. Worked on multiple projects involving recruitment and payroll. Strong analytical and problem-solving skills.","recruitment, onboarding, hrms, payroll",5,0
Health and Fitness,"Experienced Health and Fitness professional with 4 years of experience. Proficient in cpr, fitness coaching, physiotherapy, nutrition. Worked on multiple projects involving cpr and nutrition. Strong analytical and problem-solving skills.","cpr, fitness coaching, physiotherapy, nutrition",4,1
Network Security,"Experienced Network Security professional with 1 years of experience. Proficient in wireshark, ids/ips, vpn, penetration testing. Worked on multiple projects involving wireshark and penetration testing. Strong analytical and problem-solving skills.","wireshark, ids/ips, vpn, penetration testing",1,1
Advocate,"Experienced Advocate professional with 1 years of experience. Proficient in ipc, contract drafting, litigation, legal research. Worked on multiple projects involving ipc and legal research. Strong analytical and problem-solving skills.","ipc, contract drafting, litigation, legal research",1,1
Web Developer,"Experienced Web Developer professional with 2 years of experience. Proficient in css, mongodb, react, node.js. Worked on multiple projects involving css and node.js. Strong analytical and problem-solving skills.","css, mongodb, react, node.js",2,1
Advocate,"Experienced Advocate professional with 2 years of experience. Proficient in legal research, ipc, litigation, contract drafting. Worked on multiple projects involving legal research and contract drafting. Strong analytical and problem-solving skills.","legal research, ipc, litigation, contract drafting",2,0
Operations Manager,"Experienced Operations Manager professional with 0 years of experience. Proficient in kpi, six sigma, lean, supply chain. Worked on multiple projects involving kpi and supply chain. Strong analytical and problem-solving skills.","kpi, six sigma, lean, supply chain",0,1
Network Security,"Experienced Network Security professional with 5 years of experience. Proficient in firewall, wireshark, penetration testing, vpn. Worked on multiple projects involving firewall and vpn. Strong analytical and problem-solving skills.","firewall, wireshark, penetration testing, vpn",5,1
Sales,"Experienced Sales professional with 4 years of experience. Proficient in salesforce, negotiation, crm, lead generation. Worked on multiple projects involving salesforce and lead generation. Strong analytical and problem-solving skills.","salesforce, negotiation, crm, lead generation",4,1
Web Developer,"Experienced Web Developer professional with 9 years of experience. Proficient in html, mongodb, react, node.js. Worked on multiple projects involving html and node.js. Strong analytical and problem-solving skills.","html, mongodb, react, node.js",9,1
Data Science,"Experienced Data Science professional with 3 years of experience. Proficient in sklearn, numpy, tensorflow, pandas. Worked on multiple projects involving sklearn and pandas. Strong analytical and problem-solving skills.","sklearn, numpy, tensorflow, pandas",3,1
Civil Engineer,"Experienced Civil Engineer professional with 7 years of experience. Proficient in project management, staad pro, soil testing, estimation. Worked on multiple projects involving project management and estimation. Strong analytical and problem-solving skills.","project management, staad pro, soil testing, estimation",7,1
Advocate,"Experienced Advocate professional with 11 years of experience. Proficient in ipc, contract drafting, litigation, legal research. Worked on multiple projects involving ipc and legal research. Strong analytical and problem-solving skills.","ipc, contract drafting, litigation, legal research",11,1
Automation Testing,"Experienced Automation Testing professional with 5 years of experience. Proficient in jira, api testing, selenium, testng. Worked on multiple projects involving jira and testng. Strong analytical and problem-solving skills.","jira, api testing, selenium, testng",5,1
Business Analyst,"Experienced Business Analyst professional with 2 years of experience. Proficient in sql, requirement gathering, agile, stakeholder management. Worked on multiple projects involving sql and stakeholder management. Strong analytical and problem-solving skills.","sql, requirement gathering, agile, stakeholder management",2,1
Web Developer,"Experienced Web Developer professional with 1 years of experience. Proficient in javascript, node.js, react, mongodb. Worked on multiple projects involving javascript and mongodb. Strong analytical and problem-solving skills.","javascript, node.js, react, mongodb",1,1
Operations Manager,"Experienced Operations Manager professional with 2 years of experience. Proficient in lean, kpi, erp, six sigma. Worked on multiple projects involving lean and six sigma. Strong analytical and problem-solving skills.","lean, kpi, erp, six sigma",2,1
Electrical Engineering,"Experienced Electrical Engineering professional with 3 years of experience. Proficient in matlab, scada, plc, power systems. Worked on multiple projects involving matlab and power systems. Strong analytical and problem-solving skills.","matlab, scada, plc, power systems",3,0
DevOps Engineer,"Experienced DevOps Engineer professional with 3 years of experience. Proficient in ci/cd, kubernetes, docker, terraform. Worked on multiple projects involving ci/cd and terraform. Strong analytical and problem-solving skills.","ci/cd, kubernetes, docker, terraform",3,1
Sales,"Experienced Sales professional with 2 years of experience. Proficient in cold calling, salesforce, crm, negotiation. Worked on multiple projects involving cold calling and negotiation. Strong analytical and problem-solving skills.","cold calling, salesforce, crm, negotiation",2,1
Electrical Engineering,"Experienced Electrical Engineering professional with 6 years of experience. Proficient in circuit design, matlab, scada, plc. Worked on multiple projects involving circuit design and plc. Strong analytical and problem-solving skills.","circuit design, matlab, scada, plc",6,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 7 years of experience. Proficient in solidworks, cnc machining, ansys, catia. Worked on multiple projects involving solidworks and catia. Strong analytical and problem-solving skills.","solidworks, cnc machining, ansys, catia",7,1
Data Science,"Experienced Data Science professional with 4 years of experience. Proficient in numpy, python, machine learning, pandas. Worked on multiple projects involving numpy and pandas. Strong analytical and problem-solving skills.","numpy, python, machine learning, pandas",4,1
Arts,"Experienced Arts professional with 0 years of experience. Proficient in illustrator, video editing, content creation, photoshop. Worked on multiple projects involving illustrator and photoshop. Strong analytical and problem-solving skills.","illustrator, video editing, content creation, photoshop",0,0
Database Administrator,"Experienced Database Administrator professional with 11 years of experience. Proficient in sql, mysql, postgresql, performance tuning. Worked on multiple projects involving sql and performance tuning. Strong analytical and problem-solving skills.","sql, mysql, postgresql, performance tuning",11,1
HR,"Experienced HR professional with 9 years of experience. Proficient in payroll, onboarding, hrms, employee engagement. Worked on multiple projects involving payroll and employee engagement. Strong analytical and problem-solving skills.","payroll, onboarding, hrms, employee engagement",9,1
Automation Testing,"Experienced Automation Testing professional with 8 years of experience. Proficient in jira, testng, postman, api testing. Worked on multiple projects involving jira and api testing. Strong analytical and problem-solving skills.","jira, testng, postman, api testing",8,0
Web Developer,"Experienced Web Developer professional with 9 years of experience. Proficient in mongodb, javascript, css, html. Worked on multiple projects involving mongodb and html. Strong analytical and problem-solving skills.","mongodb, javascript, css, html",9,1
Health and Fitness,"Experienced Health and Fitness professional with 1 years of experience. Proficient in fitness coaching, nutrition, cpr, anatomy. Worked on multiple projects involving fitness coaching and anatomy. Strong analytical and problem-solving skills.","fitness coaching, nutrition, cpr, anatomy",1,1
Health and Fitness,"Experienced Health and Fitness professional with 6 years of experience. Proficient in anatomy, fitness coaching, physiotherapy, cpr. Worked on multiple projects involving anatomy and cpr. Strong analytical and problem-solving skills.","anatomy, fitness coaching, physiotherapy, cpr",6,1
PMO,"Experienced PMO professional with 4 years of experience. Proficient in pmp, risk management, ms project, budget planning. Worked on multiple projects involving pmp and budget planning. Strong analytical and problem-solving skills.","pmp, risk management, ms project, budget planning",4,1
Health and Fitness,"Experienced Health and Fitness professional with 2 years of experience. Proficient in fitness coaching, physiotherapy, anatomy, cpr. Worked on multiple projects involving fitness coaching and cpr. Strong analytical and problem-solving skills.","fitness coaching, physiotherapy, anatomy, cpr",2,1
DevOps Engineer,"Experienced DevOps Engineer professional with 3 years of experience. Proficient in ci/cd, terraform, kubernetes, docker. Worked on multiple projects involving ci/cd and docker. Strong analytical and problem-solving skills.","ci/cd, terraform, kubernetes, docker",3,1
Operations Manager,"Experienced Operations Manager professional with 2 years of experience. Proficient in supply chain, lean, erp, kpi. Worked on multiple projects involving supply chain and kpi. Strong analytical and problem-solving skills.","supply chain, lean, erp, kpi",2,1
Arts,"Experienced Arts professional with 7 years of experience. Proficient in content creation, video editing, illustrator, photoshop. Worked on multiple projects involving content creation and photoshop. Strong analytical and problem-solving skills.","content creation, video editing, illustrator, photoshop",7,1
Mechanical Engineer,"Experienced Mechanical Engineer professional with 7 years of experience. Proficient in thermodynamics, catia, ansys, solidworks. Worked on multiple projects involving thermodynamics and solidworks. Strong analytical and problem-solving skills.","thermodynamics, catia, ansys, solidworks",7,1
Web Developer,"Experienced Web Developer professional with 8 years of experience. Proficient in react, node.js, mongodb, html. Worked on multiple projects involving react and html. Strong analytical and problem-solving skills.","react, node.js, mongodb, html",8,1
Network Security,"Experienced Network Security professional with 1 years of experience. Proficient in firewall, wireshark, ids/ips, penetration testing. Worked on multiple projects involving firewall and penetration testing. Strong analytical and problem-solving skills.","firewall, wireshark, ids/ips, penetration testing",1,0
Python Developer,"Experienced Python Developer professional with 0 years of experience. Proficient in docker, python, postgresql, flask. Worked on multiple projects involving docker and flask. Strong analytical and problem-solving skills.","docker, python, postgresql, flask",0,0
Civil Engineer,"Experienced Civil Engineer professional with 11 years of experience. Proficient in estimation, staad pro, project management, soil testing. Worked on multiple projects involving estimation and soil testing. Strong analytical and problem-solving skills.","estimation, staad pro, project management, soil testing",11,1
Network Security,"Experienced Network Security professional with 2 years of experience. Proficient in ids/ips, siem, firewall, vpn. Worked on multiple projects involving ids/ips and vpn. Strong analytical and problem-solving skills.","ids/ips, siem, firewall, vpn",2,0
HR,"Experienced HR professional with 6 years of experience. Proficient in payroll, recruitment, employee engagement, hrms. Worked on multiple projects involving payroll and hrms. Strong analytical and problem-solving skills.","payroll, recruitment, employee engagement, hrms",6,0
Civil Engineer,"Experienced Civil Engineer professional with 4 years of experience. Proficient in project management, estimation, soil testing, autocad. Worked on multiple projects involving project management and autocad. Strong analytical and problem-solving skills.","project management, estimation, soil testing, autocad",4,0
Electrical Engineering,"Experienced Electrical Engineering professional with 5 years of experience. Proficient in plc, scada, circuit design, power systems. Worked on multiple projects involving plc and power systems. Strong analytical and problem-solving skills.","plc, scada, circuit design, power systems",5,0
Automation Testing,"Experienced Automation Testing professional with 3 years of experience. Proficient in postman, jira, selenium, api testing. Worked on multiple projects involving postman and api testing. Strong analytical and problem-solving skills.","postman, jira, selenium, api testing",3,0
Operations Manager,"Experienced Operations Manager professional with 10 years of experience. Proficient in erp, lean, supply chain, kpi. Worked on multiple projects involving erp and kpi. Strong analytical and problem-solving skills.","erp, lean, supply chain, kpi",10,1
Data Science,"Experienced Data Science professional with 6 years of experience. Proficient in machine learning, pandas, python, sklearn. Worked on multiple projects involving machine learning and sklearn. Strong analytical and problem-solving skills.","machine learning, pandas, python, sklearn",6,1
Arts,"Experienced Arts professional with 7 years of experience. Proficient in photoshop, content creation, illustrator, video editing. Worked on multiple projects involving photoshop and video editing. Strong analytical and problem-solving skills.","photoshop, content creation, illustrator, video editing",7,1
Arts,"Experienced Arts professional with 7 years of experience. Proficient in content creation, illustrator, photoshop, video editing. Worked on multiple projects involving content creation and video editing. Strong analytical and problem-solving skills.","content creation, illustrator, photoshop, video editing",7,1
Java Developer,"Experienced Java Developer professional with 6 years of experience. Proficient in sql, maven, microservices, java. Worked on multiple projects involving sql and java. Strong analytical and problem-solving skills.","sql, maven, microservices, java",6,1
Web Developer,"Experienced Web Developer professional with 9 years of experience. Proficient in react, javascript, css, mongodb. Worked on multiple projects involving react and mongodb. Strong analytical and problem-solving skills.","react, javascript, css, mongodb",9,1
SAP Developer,"Experienced SAP Developer professional with 1 years of experience. Proficient in sap fi, idoc, bapi, sap mm. Worked on multiple projects involving sap fi and sap mm. Strong analytical and problem-solving skills.","sap fi, idoc, bapi, sap mm",1,0
Database Administrator,"Experienced Database Administrator professional with 7 years of experience. Proficient in sql, oracle, postgresql, backup. Worked on multiple projects involving sql and backup. Strong analytical and problem-solving skills.","sql, oracle, postgresql, backup",7,1
Advocate,"Experienced Advocate professional with 3 years of experience. Proficient in ipc, contract drafting, legal research, litigation. Worked on multiple projects involving ipc and litigation. Strong analytical and problem-solving skills.","ipc, contract drafting, legal research, litigation",3,0
HR,"Experienced HR professional with 5 years of experience. Proficient in payroll, hrms, employee engagement, recruitment. Worked on multiple projects involving payroll and recruitment. Strong analytical and problem-solving skills.","payroll, hrms, employee engagement, recruitment",5,1
Java Developer,"Experienced Java Developer professional with 3 years of experience. Proficient in spring boot, hibernate, java, sql. Worked on multiple projects involving spring boot and sql. Strong analytical and problem-solving skills.","spring boot, hibernate, java, sql",3,1
Sales,"Experienced Sales professional with 7 years of experience. Proficient in negotiation, salesforce, lead generation, crm. Worked on multiple projects involving negotiation and crm. Strong analytical and problem-solving skills.","negotiation, salesforce, lead generation, crm",7,1
Database Administrator,"Experienced Database Administrator professional with 11 years of experience. Proficient in mysql, sql, performance tuning, backup. Worked on multiple projects involving mysql and backup. Strong analytical and problem-solving skills.","mysql, sql, performance tuning, backup",11,1
DevOps Engineer,"Experienced DevOps Engineer professional with 9 years of experience. Proficient in aws, jenkins, docker, kubernetes. Worked on multiple projects involving aws and kubernetes. Strong analytical and problem-solving skills.","aws, jenkins, docker, kubernetes",9,1
Advocate,"Experienced Advocate professional with 3 years of experience. Proficient in legal research, contract drafting, litigation, ipc. Worked on multiple projects involving legal research and ipc. Strong analytical and problem-solving skills.","legal research, contract drafting, litigation, ipc",3,1
DevOps Engineer,"Experienced DevOps Engineer professional with 11 years of experience. Proficient in aws, jenkins, terraform, ci/cd. Worked on multiple projects involving aws and ci/cd. Strong analytical and problem-solving skills.","aws, jenkins, terraform, ci/cd",11,1
Business Analyst,"Experienced Business Analyst professional with 0 years of experience. Proficient in agile, sql, uml, stakeholder management. Worked on multiple projects involving agile and stakeholder management. Strong analytical and problem-solving skills.","agile, sql, uml, stakeholder management",0,1
Advocate,"Experienced Advocate professional with 5 years of experience. Proficient in contract drafting, legal research, litigation, ipc. Worked on multiple projects involving contract drafting and ipc. Strong analytical and problem-solving skills.","contract drafting, legal research, litigation, ipc",5,0
Business Analyst,"Experienced Business Analyst professional with 3 years of experience. Proficient in stakeholder management, agile, sql, uml. Worked on multiple projects involving stakeholder management and uml. Strong analytical and problem-solving skills.","stakeholder management, agile, sql, uml",3,1
Network Security,"Experienced Network Security professional with 5 years of experience. Proficient in penetration testing, vpn, firewall, wireshark. Worked on multiple projects involving penetration testing and wireshark. Strong analytical and problem-solving skills.","penetration testing, vpn, firewall, wireshark",5,1
DevOps Engineer,"Experienced DevOps Engineer professional with 9 years of experience. Proficient in kubernetes, jenkins, docker, terraform. Worked on multiple projects involving kubernetes and terraform. Strong analytical and problem-solving skills.","kubernetes, jenkins, docker, terraform",9,1
PMO,"Experienced PMO professional with 0 years of experience. Proficient in risk management, pmp, budget planning, ms project. Worked on multiple projects involving risk management and ms project. Strong analytical and problem-solving skills.","risk management, pmp, budget planning, ms project",0,1
Arts,"Experienced Arts professional with 3 years of experience. Proficient in photoshop, video editing, illustrator, content creation. Worked on multiple projects involving photoshop and content creation. Strong analytical and problem-solving skills.","photoshop, video editing, illustrator, content creation",3,1
Sales,"Experienced Sales professional with 8 years of experience. Proficient in cold calling, salesforce, crm, negotiation. Worked on multiple projects involving cold calling and negotiation. Strong analytical and problem-solving skills.","cold calling, salesforce, crm, negotiation",8,1
Civil Engineer,"Experienced Civil Engineer professional with 3 years of experience. Proficient in staad pro, project management, autocad, estimation. Worked on multiple projects involving staad pro and estimation. Strong analytical and problem-solving skills.","staad pro, project management, autocad, estimation",3,0
Advocate,"Experienced Advocate professional with 11 years of experience. Proficient in ipc, litigation, contract drafting, legal research. Worked on multiple projects involving ipc and legal research. Strong analytical and problem-solving skills.","ipc, litigation, contract drafting, legal research",11,1
Sales,"Experienced Sales professional with 9 years of experience. Proficient in crm, cold calling, lead generation, salesforce. Worked on multiple projects involving crm and salesforce. Strong analytical and problem-solving skills.","crm, cold calling, lead generation, salesforce",9,1
Java Developer,"Experienced Java Developer professional with 3 years of experience. Proficient in maven, hibernate, microservices, spring boot. Worked on multiple projects involving maven and spring boot. Strong analytical and problem-solving skills.","maven, hibernate, microservices, spring boot",3,1
Database Administrator,"Experienced Database Administrator professional with 3 years of experience. Proficient in backup, postgresql, sql, mysql. Worked on multiple projects involving backup and mysql. Strong analytical and problem-solving skills.","backup, postgresql, sql, mysql",3,1
Sales,"Experienced Sales professional with 7 years of experience. Proficient in crm, salesforce, negotiation, cold calling. Worked on multiple projects involving crm and cold calling. Strong analytical and problem-solving skills.","crm, salesforce, negotiation, cold calling",7,1
